HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
J. Tatum,A. Horford,G. Williams,M. Smart,D. White,K. Looney,G. Payton,K. Thompson,S. Curry,J. Poole,100,200,86,2129
J. Tatum,A. Horford,G. Williams,M. Smart,D. White,A. Wiggins,K. Looney,G. Payton,S. Curry,J. Poole,0,0,31,2160
J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,137,86,167,2327
J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,A. Wiggins,N. Bjelica,S. Curry,J. Poole,D. Green,0,85,67,2394
J. Tatum,M. Smart,J. Brown,D. White,R. Williams,N. Bjelica,K. Thompson,S. Curry,J. Poole,D. Green,338,0,34,2428
J. Tatum,M. Smart,J. Brown,D. White,R. Williams,A. Wiggins,K. Looney,K. Thompson,S. Curry,J. Poole,49,137,231,2659
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,0,0,20,2679
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,J. Poole,0,0,16,2695
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,66,111,129,2824
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,J. Poole,0,0,9,2833
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,0,261,22,2855
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Thompson,S. Curry,J. Poole,D. Green,0,480,6,2861
